               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12276,             0.39975,                   0,            0.012222,           0.0094828,           0.0061746,           0.0011214,             0.11769,             0.32636,                   0,              0.0964,              0.0004,              0.0004
                   1,             0.12023,             0.36322,                   0,            0.037778,             0.02931,             0.01987,           0.0049652,             0.11398,             0.30098,                   0,            0.091897,          0.00089703,          0.00089703
                   2,             0.11731,             0.36919,                   0,             0.10444,            0.081034,            0.060702,            0.018563,             0.11147,             0.29584,                   0,            0.087391,           0.0013908,           0.0013908
                   3,              0.1132,             0.33934,                   0,             0.11558,            0.089655,            0.064762,            0.016903,             0.10838,             0.30981,                   0,            0.082881,           0.0018812,           0.0018812
                   4,             0.11105,             0.34066,                   0,             0.11997,             0.12328,            0.070791,             0.01915,             0.10838,             0.27144,                   0,            0.078368,           0.0023683,           0.0023683
                   5,             0.10504,             0.30976,                   0,             0.17117,             0.13448,             0.11189,            0.030405,            0.099895,             0.29369,                   0,            0.073852,           0.0028522,           0.0028522
                   6,            0.099938,             0.32511,                   0,             0.19089,             0.29138,             0.13192,            0.034675,            0.095413,             0.31928,                   0,            0.069333,           0.0033327,           0.0033327
                   7,            0.093846,             0.38033,                   0,             0.27772,             0.44052,             0.24243,            0.062305,            0.092642,             0.34729,                   0,             0.06481,           0.0038099,           0.0038099
                   8,              0.0878,             0.36817,                   0,             0.22129,             0.63621,             0.23027,            0.063645,            0.087193,             0.41835,                   0,            0.060284,           0.0042838,           0.0042838
                   9,            0.085399,             0.40682,                   0,             0.27775,              0.7681,             0.40978,             0.11294,            0.083992,             0.49057,                   0,            0.055754,           0.0047545,           0.0047545
                  10,            0.076369,              0.3805,                   0,              0.2421,             0.66121,             0.26879,            0.066844,            0.085099,             0.49216,                   0,            0.051222,           0.0052218,           0.0052218
                  11,            0.075113,             0.39057,                   0,             0.24115,             0.79052,             0.24898,            0.079252,            0.079402,             0.44768,                   0,            0.046686,           0.0056858,           0.0056858
                  12,             0.07829,             0.40921,                   0,               0.218,             0.75862,             0.23893,            0.065012,            0.095728,              0.5088,                   0,            0.042147,           0.0061466,           0.0061466
                  13,            0.081521,             0.37219,                   0,             0.26213,             0.65345,             0.31273,            0.082144,            0.086438,              0.4043,                   0,            0.037604,            0.006604,            0.006604
                  14,            0.074538,             0.40176,                   0,             0.29127,             0.76034,             0.30738,            0.092023,            0.068982,             0.40249,                   0,            0.033058,           0.0070581,           0.0070581
                  15,            0.070615,              0.4504,                   0,             0.21259,             0.77414,             0.19652,            0.062757,            0.072105,             0.50773,                   0,            0.028509,           0.0075089,           0.0075089
                  16,            0.068165,             0.39431,                   0,             0.23298,             0.71207,             0.22954,            0.077114,            0.084669,             0.41116,                   0,            0.023956,           0.0079565,           0.0079565
                  17,            0.073283,             0.39995,                   0,             0.47337,             0.66379,             0.48642,              0.1456,            0.073363,             0.35397,                   0,            0.019401,           0.0084007,           0.0084007
                  18,            0.074393,             0.39185,                   0,            0.092865,             0.37845,            0.063012,            0.015775,            0.086982,             0.42092,                   0,            0.014842,           0.0088416,           0.0088416
                  19,            0.071433,             0.37139,                   0,             0.29331,             0.74052,             0.29592,            0.088289,            0.073498,             0.37798,                   0,            0.010279,           0.0092793,           0.0092793
                  20,            0.072602,             0.40919,                   0,             0.15545,             0.61983,             0.13581,            0.037996,            0.082186,             0.35285,                   0,             0.00934,             0.00934,             0.00934
                  21,            0.071515,             0.40297,                   0,             0.79046,              0.7681,              0.8178,             0.29707,            0.068277,             0.35314,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.065294,             0.42914,                   0,             0.57888,             0.72877,             0.70191,             0.24043,            0.060462,             0.32349,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.069611,             0.44652,                   0,             0.49473,             0.71156,             0.69081,              0.3031,            0.058484,             0.33894,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.062857,             0.37783,                   0,             0.30726,             0.72931,             0.32264,             0.11311,            0.077532,               0.344,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.070147,             0.41422,                   0,             0.57386,               0.725,             0.67044,             0.22302,            0.064067,             0.30813,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.063276,             0.41905,                   0,              0.4867,             0.71983,             0.62796,              0.2193,            0.059903,             0.30868,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.058106,             0.42231,                   0,             0.37623,             0.83194,             0.41838,             0.17331,             0.07109,             0.32317,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.068768,             0.38075,                   0,             0.60031,             0.72249,             0.69039,             0.22291,            0.061838,             0.30516,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.065349,             0.40726,                   0,              0.3596,             0.77586,             0.41298,             0.11913,            0.066872,             0.34145,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.059982,             0.41455,                   0,              0.8502,             0.83177,             0.90148,             0.38855,            0.053142,             0.30296,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.053273,             0.38472,                   0,             0.39503,              0.8319,             0.72906,             0.33978,            0.062126,             0.41441,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.063032,             0.44997,                   0,              0.7095,             0.82241,             0.86826,              0.4266,            0.052976,             0.30521,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.059444,             0.41397,                   0,             0.43263,             0.73017,             0.56699,             0.20596,            0.064031,             0.31111,                   0,            0.008944,            0.008944,            0.008944
                  34,            0.064144,             0.41927,                   0,              0.8829,             0.70172,             0.83835,             0.36055,            0.060447,             0.29511,                   0,            0.008911,            0.008911,            0.008911
                  35,            0.059209,             0.41384,                   0,             0.56045,             0.71887,             0.73562,             0.33049,            0.054358,              0.3232,                   0,            0.008878,            0.008878,            0.008878
                  36,            0.057789,             0.40109,                   0,             0.69635,             0.69052,             0.77713,             0.27827,            0.056724,             0.31911,                   0,            0.008845,            0.008845,            0.008845
                  37,            0.056964,             0.38311,                   0,             0.68122,             0.80503,             0.77372,             0.35018,            0.053599,             0.31314,                   0,            0.008812,            0.008812,            0.008812
                  38,            0.058588,             0.39081,                   0,             0.82489,             0.76724,             0.87057,             0.40418,            0.055212,             0.30843,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.053575,             0.39699,                   0,             0.36092,             0.76552,             0.42256,             0.15345,            0.064016,             0.31496,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.066429,             0.42191,                   0,              0.6694,             0.75231,              0.7795,             0.32615,            0.056189,             0.31069,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.054165,             0.44799,                   0,             0.91678,             0.90086,             0.93877,             0.41679,            0.051795,             0.30164,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.066034,             0.43468,                   0,             0.27026,             0.83488,             0.29269,             0.10243,            0.065333,             0.33181,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.066445,             0.39396,                   0,             0.93712,             0.86074,             0.92152,             0.37544,            0.054987,             0.29977,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.054661,             0.40213,                   0,             0.86598,             0.89686,             0.93183,             0.41111,            0.049428,             0.30284,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.053931,             0.40649,                   0,             0.84532,             0.84224,             0.91602,             0.44008,            0.051496,             0.29746,                   0,            0.008548,            0.008548,            0.008548
                  46,             0.05832,             0.40265,                   0,             0.54685,             0.83744,               0.677,             0.24964,            0.058391,             0.31993,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.053674,             0.37765,                   0,             0.46177,             0.71379,              0.6194,             0.27114,            0.061175,             0.32066,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.060178,             0.41144,                   0,             0.86529,             0.79181,              0.8991,             0.44271,             0.04988,              0.2966,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.056439,              0.3894,                   0,             0.59948,             0.68534,             0.71774,             0.31488,            0.059479,             0.31092,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.057134,              0.3875,                   0,             0.62452,             0.78793,              0.7768,             0.37256,            0.054215,             0.30119,                   0,            0.008383,            0.008383,            0.008383
                  51,             0.05222,             0.38077,                   0,             0.70924,             0.83362,             0.82784,              0.2809,             0.05824,             0.33465,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.061109,             0.40288,                   0,               0.865,              0.8672,             0.91742,              0.4427,            0.049351,             0.30381,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.054953,              0.4024,                   0,             0.73883,             0.82069,             0.85929,             0.40913,            0.057205,             0.32142,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.058806,             0.44948,                   0,             0.84546,             0.83276,             0.91282,             0.41567,            0.051042,             0.31835,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.051601,             0.38786,                   0,             0.81478,             0.81151,             0.87127,             0.31878,            0.059443,             0.30307,                   0,            0.008218,            0.008218,            0.008218
                  56,              0.0585,             0.41074,                   0,             0.93285,              0.9341,             0.95633,             0.44875,             0.04906,             0.30166,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.053409,             0.40448,                   0,             0.58632,             0.78621,             0.76549,             0.34115,            0.053327,             0.30155,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.054853,             0.39089,                   0,             0.61931,             0.82043,             0.79991,             0.36097,            0.050541,              0.2991,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.049515,              0.3809,                   0,             0.61135,             0.90345,             0.71419,             0.29955,            0.050765,             0.30277,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.054042,             0.40625,                   0,             0.94661,             0.90176,             0.96049,             0.48213,            0.045825,              0.2972,                   0,            0.008053,            0.008053,            0.008053
                  61,             0.05167,             0.40737,                   0,             0.82416,             0.91313,              0.9274,             0.46473,            0.047936,             0.31052,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.050878,             0.39831,                   0,             0.93632,             0.92529,             0.95846,             0.43794,            0.046711,             0.29297,                   0,            0.007987,            0.007987,            0.007987
                  63,             0.04957,             0.39341,                   0,              0.9402,             0.94397,             0.96904,             0.46803,             0.04668,             0.29947,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.050329,             0.39414,                   0,             0.93818,             0.92891,             0.96654,             0.46799,            0.046107,             0.29056,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.050931,             0.39716,                   0,             0.65418,             0.88966,             0.76013,             0.28864,            0.052363,             0.31026,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.050382,             0.36632,                   0,             0.93687,             0.92112,             0.96913,             0.49681,            0.045507,             0.28903,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.049736,             0.39143,                   0,             0.86661,             0.89397,             0.90533,             0.31927,            0.057712,             0.31991,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.056808,             0.39062,                   0,               0.943,             0.93621,             0.96969,             0.48859,            0.045017,              0.2913,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.050696,             0.40083,                   0,             0.82727,             0.82414,             0.90245,             0.40245,            0.049053,             0.30313,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.050997,             0.38672,                   0,             0.94897,             0.93103,             0.96986,             0.47619,             0.04544,             0.28743,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.046691,             0.36784,                   0,             0.72116,             0.81207,             0.84838,             0.33831,            0.052491,             0.30928,                   0,             0.00769,             0.00769,             0.00769
